"date";"date.1";"sales";"vender"
2018-05-06;"Alexey";136;"CristalStudio"
2018-03-20;"Denis";242;"CristalStudio"
2018-06-09;"Konstantin";226;"CristalStudio"
2018-03-28;"Alexey";829;"CristalStudio"
2018-05-07;"Ivan";932;"CristalStudio"
2018-01-27;"Denis";834;"CristalStudio"
2018-05-08;"Dmitry";220;"CristalStudio"
2018-01-21;"Kirill";330;"CristalStudio"
2018-02-03;"Kirill";256;"CristalStudio"
2018-05-29;"Konstantin";945;"CristalStudio"
2018-05-30;"Dmitry";611;"CristalStudio"
2018-02-25;"Konstantin";105;"CristalStudio"
2018-02-19;"Anatoliy";948;"CristalStudio"
2018-03-28;"Alexey";495;"CristalStudio"
2018-05-31;"Sergey";468;"CristalStudio"
2018-01-14;"Alexey";145;"CristalStudio"
2018-06-24;"Ivan";816;"CristalStudio"
2018-05-10;"Ivan";679;"CristalStudio"
2018-05-29;"Alexey";781;"CristalStudio"
2018-01-01;"Alexey";850;"CristalStudio"
2018-05-14;"Anatoliy";656;"CristalStudio"
2018-06-22;"Denis";449;"CristalStudio"
2018-06-07;"Ivan";843;"CristalStudio"
2018-02-13;"Konstantin";767;"CristalStudio"
2018-02-11;"Denis";712;"CristalStudio"
2018-03-20;"Sergey";617;"CristalStudio"
2018-06-11;"Kirill";911;"CristalStudio"
2018-06-22;"Sergey";384;"CristalStudio"
2018-06-18;"Sergey";512;"CristalStudio"
2018-04-08;"Alexey";858;"CristalStudio"
2018-01-09;"Anatoliy";1000;"CristalStudio"
2018-03-26;"Denis";634;"CristalStudio"
2018-03-29;"Ivan";155;"CristalStudio"
2018-02-13;"Alexey";261;"CristalStudio"
2018-04-19;"Anatoliy";123;"CristalStudio"
2018-01-13;"Nikolay";141;"CristalStudio"
2018-02-18;"Nikolay";962;"CristalStudio"
2018-01-28;"Ivan";511;"CristalStudio"
2018-02-15;"Denis";289;"CristalStudio"
2018-05-29;"Nikolay";177;"CristalStudio"
2018-04-24;"Anatoliy";678;"CristalStudio"
2018-03-16;"Sergey";605;"CristalStudio"
2018-06-11;"Denis";687;"CristalStudio"
2018-03-29;"Konstantin";723;"CristalStudio"
2018-02-02;"Kirill";137;"CristalStudio"
2018-04-08;"Nikolay";436;"CristalStudio"
2018-06-17;"Ivan";807;"CristalStudio"
2018-05-15;"Ivan";463;"CristalStudio"
2018-02-11;"Denis";956;"CristalStudio"
2018-01-29;"Denis";561;"CristalStudio"
2018-02-06;"Nikolay";899;"CristalStudio"
2018-04-26;"Dmitry";124;"CristalStudio"
2018-07-01;"Anatoliy";488;"CristalStudio"
2018-03-23;"Ivan";514;"CristalStudio"
2018-04-23;"Kirill";662;"CristalStudio"
2018-03-25;"Dmitry";482;"CristalStudio"
2018-05-01;"Dmitry";964;"CristalStudio"
2018-03-19;"Kirill";420;"CristalStudio"
2018-01-03;"Anatoliy";851;"CristalStudio"
2018-05-17;"Dmitry";761;"CristalStudio"
2018-02-13;"Sergey";866;"CristalStudio"
2018-01-27;"Sergey";795;"CristalStudio"
2018-03-21;"Sergey";201;"CristalStudio"
2018-05-16;"Alexey";997;"CristalStudio"
2018-06-09;"Dmitry";302;"CristalStudio"
2018-05-17;"Ivan";714;"CristalStudio"
2018-06-05;"Sergey";271;"CristalStudio"
2018-05-04;"Nikolay";837;"CristalStudio"
2018-03-18;"Anatoliy";959;"CristalStudio"
2018-04-21;"Konstantin";693;"CristalStudio"
2018-05-26;"Nikolay";394;"CristalStudio"
2018-06-27;"Anatoliy";916;"CristalStudio"
2018-06-13;"Konstantin";429;"CristalStudio"
2018-04-10;"Anatoliy";255;"CristalStudio"
2018-02-13;"Konstantin";459;"CristalStudio"
2018-03-26;"Anatoliy";967;"CristalStudio"
2018-03-10;"Sergey";606;"CristalStudio"
2018-06-04;"Alexey";175;"CristalStudio"
2018-06-10;"Nikolay";557;"CristalStudio"
2018-02-27;"Ivan";444;"CristalStudio"
2018-02-17;"Kirill";308;"CristalStudio"
2018-06-08;"Nikolay";988;"CristalStudio"
2018-01-22;"Kirill";108;"CristalStudio"
2018-01-25;"Konstantin";202;"CristalStudio"
2018-02-13;"Denis";368;"CristalStudio"
2018-05-21;"Kirill";997;"CristalStudio"
2018-02-20;"Kirill";473;"CristalStudio"
2018-05-12;"Nikolay";286;"CristalStudio"
2018-04-28;"Alexey";763;"CristalStudio"
2018-03-16;"Alexey";715;"CristalStudio"
2018-01-06;"Sergey";853;"CristalStudio"
2018-04-24;"Anatoliy";687;"CristalStudio"
2018-03-01;"Sergey";277;"CristalStudio"
2018-02-01;"Anatoliy";674;"CristalStudio"
2018-03-23;"Nikolay";583;"CristalStudio"
2018-01-04;"Sergey";803;"CristalStudio"
2018-02-01;"Kirill";811;"CristalStudio"
2018-04-26;"Anatoliy";884;"CristalStudio"
