"date";"date.1";"sales";"vender"
2018-03-11;"Kirill";166;"Datamarket"
2018-06-19;"Anatoliy";991;"Datamarket"
2018-02-07;"Konstantin";514;"Datamarket"
2018-02-17;"Kirill";446;"Datamarket"
2018-01-03;"Sergey";467;"Datamarket"
2018-05-28;"Nikolay";651;"Datamarket"
2018-03-16;"Nikolay";155;"Datamarket"
2018-05-23;"Anatoliy";624;"Datamarket"
2018-02-17;"Ivan";791;"Datamarket"
2018-02-09;"Alexey";282;"Datamarket"
2018-02-13;"Kirill";307;"Datamarket"
2018-02-19;"Denis";101;"Datamarket"
2018-03-31;"Ivan";814;"Datamarket"
2018-01-29;"Sergey";270;"Datamarket"
2018-04-23;"Kirill";786;"Datamarket"
2018-02-24;"Kirill";281;"Datamarket"
2018-04-19;"Alexey";212;"Datamarket"
2018-05-18;"Kirill";551;"Datamarket"
2018-04-13;"Konstantin";120;"Datamarket"
2018-01-14;"Kirill";125;"Datamarket"
2018-02-03;"Kirill";183;"Datamarket"
2018-06-14;"Kirill";506;"Datamarket"
2018-01-04;"Denis";808;"Datamarket"
2018-03-21;"Denis";306;"Datamarket"
2018-04-05;"Dmitry";575;"Datamarket"
2018-01-31;"Dmitry";736;"Datamarket"
2018-06-20;"Ivan";596;"Datamarket"
2018-01-23;"Anatoliy";389;"Datamarket"
2018-06-18;"Dmitry";333;"Datamarket"
2018-05-16;"Ivan";794;"Datamarket"
2018-04-01;"Denis";265;"Datamarket"
2018-03-01;"Dmitry";189;"Datamarket"
2018-01-02;"Dmitry";391;"Datamarket"
2018-05-20;"Sergey";602;"Datamarket"
2018-05-17;"Ivan";308;"Datamarket"
