"date";"date.1";"sales";"vender"
2018-01-14;"Nikolay";914;"Lunasoft"
2018-06-30;"Nikolay";461;"Lunasoft"
2018-05-20;"Nikolay";988;"Lunasoft"
2018-06-26;"Dmitry";602;"Lunasoft"
2018-03-18;"Ivan";651;"Lunasoft"
2018-05-07;"Alexey";935;"Lunasoft"
2018-02-01;"Anatoliy";313;"Lunasoft"
2018-02-03;"Sergey";156;"Lunasoft"
2018-06-07;"Anatoliy";214;"Lunasoft"
2018-06-21;"Sergey";113;"Lunasoft"
2018-06-12;"Alexey";501;"Lunasoft"
2018-05-20;"Konstantin";173;"Lunasoft"
2018-04-21;"Dmitry";264;"Lunasoft"
2018-04-02;"Kirill";931;"Lunasoft"
2018-02-11;"Anatoliy";821;"Lunasoft"
2018-04-10;"Konstantin";281;"Lunasoft"
2018-01-01;"Konstantin";124;"Lunasoft"
2018-01-21;"Denis";792;"Lunasoft"
2018-01-20;"Konstantin";622;"Lunasoft"
2018-04-06;"Dmitry";647;"Lunasoft"
2018-06-09;"Anatoliy";140;"Lunasoft"
2018-03-11;"Anatoliy";573;"Lunasoft"
2018-01-16;"Denis";750;"Lunasoft"
2018-06-21;"Ivan";926;"Lunasoft"
2018-06-19;"Nikolay";732;"Lunasoft"
2018-02-20;"Denis";965;"Lunasoft"
2018-03-22;"Anatoliy";527;"Lunasoft"
2018-05-07;"Kirill";922;"Lunasoft"
2018-01-15;"Nikolay";806;"Lunasoft"
2018-02-28;"Nikolay";509;"Lunasoft"
2018-05-13;"Denis";450;"Lunasoft"
2018-03-21;"Nikolay";379;"Lunasoft"
2018-01-09;"Alexey";115;"Lunasoft"
2018-04-20;"Anatoliy";979;"Lunasoft"
2018-03-13;"Sergey";589;"Lunasoft"
2018-06-21;"Sergey";439;"Lunasoft"
2018-06-22;"Konstantin";880;"Lunasoft"
