"date";"date.1";"sales";"vender"
2018-03-11;"Anatoliy";133;"Marker LTD"
2018-06-23;"Sergey";218;"Marker LTD"
2018-05-09;"Nikolay";310;"Marker LTD"
2018-06-07;"Ivan";862;"Marker LTD"
2018-06-01;"Sergey";145;"Marker LTD"
2018-03-03;"Sergey";341;"Marker LTD"
2018-04-13;"Denis";706;"Marker LTD"
2018-03-28;"Konstantin";817;"Marker LTD"
2018-01-25;"Nikolay";941;"Marker LTD"
2018-03-20;"Kirill";942;"Marker LTD"
2018-03-03;"Konstantin";531;"Marker LTD"
2018-05-03;"Dmitry";376;"Marker LTD"
2018-01-16;"Kirill";367;"Marker LTD"
2018-04-13;"Kirill";494;"Marker LTD"
2018-04-14;"Ivan";607;"Marker LTD"
2018-06-19;"Dmitry";405;"Marker LTD"
2018-06-21;"Nikolay";286;"Marker LTD"
2018-03-12;"Konstantin";658;"Marker LTD"
2018-05-30;"Dmitry";848;"Marker LTD"
2018-05-26;"Ivan";306;"Marker LTD"
2018-02-09;"Anatoliy";656;"Marker LTD"
2018-01-25;"Anatoliy";900;"Marker LTD"
2018-05-01;"Kirill";594;"Marker LTD"
2018-05-23;"Sergey";914;"Marker LTD"
2018-02-09;"Konstantin";395;"Marker LTD"
2018-05-12;"Konstantin";368;"Marker LTD"
2018-05-01;"Denis";723;"Marker LTD"
2018-03-25;"Anatoliy";939;"Marker LTD"
2018-02-17;"Alexey";572;"Marker LTD"
2018-05-01;"Anatoliy";576;"Marker LTD"
2018-04-24;"Kirill";429;"Marker LTD"
2018-03-10;"Dmitry";342;"Marker LTD"
2018-05-10;"Dmitry";149;"Marker LTD"
2018-06-04;"Kirill";886;"Marker LTD"
2018-04-10;"Sergey";677;"Marker LTD"
2018-03-20;"Nikolay";430;"Marker LTD"
2018-05-30;"Sergey";203;"Marker LTD"
2018-01-02;"Alexey";187;"Marker LTD"
2018-05-24;"Dmitry";516;"Marker LTD"
2018-04-08;"Kirill";223;"Marker LTD"
2018-06-16;"Alexey";913;"Marker LTD"
2018-06-23;"Ivan";546;"Marker LTD"
2018-05-28;"Denis";852;"Marker LTD"
2018-04-01;"Denis";525;"Marker LTD"
