"date";"date.1";"sales";"vender"
2018-05-25;"Konstantin";466;"Portweb"
2018-06-01;"Dmitry";349;"Portweb"
2018-05-07;"Dmitry";936;"Portweb"
2018-01-05;"Ivan";835;"Portweb"
2018-06-26;"Ivan";348;"Portweb"
2018-06-26;"Kirill";368;"Portweb"
2018-04-20;"Ivan";357;"Portweb"
2018-03-28;"Sergey";623;"Portweb"
2018-01-04;"Alexey";957;"Portweb"
2018-02-27;"Konstantin";590;"Portweb"
2018-01-05;"Kirill";811;"Portweb"
2018-05-27;"Anatoliy";674;"Portweb"
2018-05-19;"Sergey";111;"Portweb"
2018-05-10;"Nikolay";803;"Portweb"
2018-04-04;"Alexey";496;"Portweb"
2018-01-12;"Anatoliy";127;"Portweb"
2018-05-08;"Sergey";570;"Portweb"
2018-01-25;"Sergey";915;"Portweb"
2018-02-22;"Denis";983;"Portweb"
2018-02-18;"Kirill";921;"Portweb"
2018-03-27;"Ivan";192;"Portweb"
2018-05-22;"Anatoliy";344;"Portweb"
2018-03-15;"Dmitry";575;"Portweb"
2018-03-09;"Nikolay";119;"Portweb"
2018-05-20;"Konstantin";430;"Portweb"
2018-03-13;"Ivan";145;"Portweb"
2018-04-13;"Konstantin";143;"Portweb"
2018-03-19;"Denis";935;"Portweb"
2018-05-12;"Sergey";926;"Portweb"
2018-03-13;"Ivan";546;"Portweb"
2018-01-10;"Kirill";780;"Portweb"
2018-06-03;"Kirill";199;"Portweb"
2018-05-14;"Nikolay";852;"Portweb"
2018-04-26;"Konstantin";647;"Portweb"
2018-01-12;"Ivan";679;"Portweb"
2018-06-04;"Alexey";242;"Portweb"
2018-01-30;"Denis";994;"Portweb"
2018-01-19;"Kirill";248;"Portweb"
2018-01-24;"Anatoliy";483;"Portweb"
2018-06-27;"Denis";498;"Portweb"
2018-05-17;"Anatoliy";228;"Portweb"
2018-06-10;"Konstantin";567;"Portweb"
2018-03-03;"Ivan";236;"Portweb"
2018-01-01;"Konstantin";671;"Portweb"
2018-02-27;"Sergey";351;"Portweb"
2018-04-28;"Anatoliy";302;"Portweb"
2018-04-24;"Denis";249;"Portweb"
2018-04-20;"Sergey";783;"Portweb"
2018-01-27;"Alexey";596;"Portweb"
2018-01-09;"Anatoliy";186;"Portweb"
2018-06-24;"Alexey";892;"Portweb"
2018-05-10;"Dmitry";437;"Portweb"
2018-03-23;"Denis";902;"Portweb"
2018-03-17;"Sergey";816;"Portweb"
2018-06-23;"Alexey";330;"Portweb"
2018-02-21;"Nikolay";543;"Portweb"
2018-03-18;"Denis";577;"Portweb"
2018-05-01;"Kirill";241;"Portweb"
2018-04-15;"Dmitry";285;"Portweb"
2018-05-30;"Denis";908;"Portweb"
2018-03-05;"Nikolay";588;"Portweb"
2018-02-28;"Anatoliy";286;"Portweb"
