"date";"date.1";"sales";"vender"
2018-05-23;"Anatoliy";600;"Pritcoder"
2018-02-22;"Kirill";790;"Pritcoder"
2018-04-06;"Alexey";286;"Pritcoder"
2018-06-07;"Konstantin";768;"Pritcoder"
2018-02-14;"Kirill";355;"Pritcoder"
2018-02-07;"Sergey";624;"Pritcoder"
2018-03-22;"Dmitry";953;"Pritcoder"
2018-04-17;"Ivan";825;"Pritcoder"
2018-01-24;"Dmitry";387;"Pritcoder"
2018-06-15;"Sergey";746;"Pritcoder"
2018-06-30;"Dmitry";732;"Pritcoder"
2018-03-10;"Sergey";898;"Pritcoder"
2018-02-06;"Sergey";882;"Pritcoder"
2018-05-19;"Alexey";143;"Pritcoder"
2018-02-22;"Kirill";632;"Pritcoder"
2018-05-24;"Denis";976;"Pritcoder"
2018-03-22;"Kirill";752;"Pritcoder"
2018-06-21;"Dmitry";774;"Pritcoder"
2018-01-23;"Ivan";141;"Pritcoder"
2018-02-04;"Sergey";147;"Pritcoder"
2018-02-20;"Anatoliy";970;"Pritcoder"
2018-05-01;"Kirill";992;"Pritcoder"
2018-02-27;"Anatoliy";181;"Pritcoder"
2018-06-10;"Ivan";202;"Pritcoder"
2018-01-02;"Ivan";555;"Pritcoder"
2018-03-05;"Ivan";562;"Pritcoder"
2018-06-21;"Ivan";868;"Pritcoder"
2018-06-06;"Denis";531;"Pritcoder"
2018-06-30;"Ivan";110;"Pritcoder"
2018-06-06;"Alexey";832;"Pritcoder"
2018-06-14;"Denis";145;"Pritcoder"
2018-04-09;"Nikolay";334;"Pritcoder"
2018-06-08;"Dmitry";550;"Pritcoder"
2018-04-25;"Alexey";655;"Pritcoder"
2018-05-15;"Ivan";300;"Pritcoder"
2018-05-08;"Denis";429;"Pritcoder"
2018-04-01;"Konstantin";396;"Pritcoder"
2018-02-08;"Kirill";451;"Pritcoder"
2018-04-19;"Kirill";682;"Pritcoder"
2018-02-03;"Dmitry";233;"Pritcoder"
2018-01-05;"Ivan";803;"Pritcoder"
2018-01-13;"Sergey";493;"Pritcoder"
2018-03-16;"Dmitry";388;"Pritcoder"
2018-02-03;"Denis";938;"Pritcoder"
2018-01-07;"Ivan";622;"Pritcoder"
2018-04-16;"Sergey";772;"Pritcoder"
2018-04-12;"Konstantin";586;"Pritcoder"
2018-03-01;"Nikolay";508;"Pritcoder"
2018-04-02;"Denis";177;"Pritcoder"
2018-04-24;"Konstantin";516;"Pritcoder"
2018-01-19;"Nikolay";364;"Pritcoder"
2018-02-01;"Anatoliy";898;"Pritcoder"
2018-02-20;"Kirill";636;"Pritcoder"
2018-03-19;"Nikolay";782;"Pritcoder"
2018-06-22;"Kirill";971;"Pritcoder"
2018-03-25;"Sergey";403;"Pritcoder"
2018-02-01;"Nikolay";481;"Pritcoder"
2018-05-04;"Anatoliy";239;"Pritcoder"
2018-04-14;"Alexey";284;"Pritcoder"
2018-04-15;"Alexey";730;"Pritcoder"
2018-02-14;"Ivan";327;"Pritcoder"
2018-02-25;"Kirill";909;"Pritcoder"
2018-02-07;"Denis";834;"Pritcoder"
2018-04-13;"Anatoliy";616;"Pritcoder"
2018-02-16;"Anatoliy";474;"Pritcoder"
2018-05-17;"Konstantin";881;"Pritcoder"
2018-04-18;"Ivan";694;"Pritcoder"
2018-05-30;"Konstantin";612;"Pritcoder"
2018-01-17;"Konstantin";348;"Pritcoder"
2018-05-19;"Alexey";789;"Pritcoder"
2018-02-18;"Konstantin";528;"Pritcoder"
2018-04-29;"Sergey";938;"Pritcoder"
2018-02-27;"Alexey";159;"Pritcoder"
2018-05-14;"Ivan";110;"Pritcoder"
2018-02-25;"Nikolay";670;"Pritcoder"
