Id;Name;Value
1;Alexey;14
2;Leonid;66
3;Andrey;32
4;Andrey;75
5;Denis;72
6;Maxim;36
7;Kirill;55
8;Andrey;17
9;Leonid;62
10;Leonid;49
11;Andrey;20
12;Maxim;17
13;Maxim;35
14;Maxim;41
15;Kirill;63
16;Denis;30
17;Kirill;34
18;Alexey;49
19;Andrey;50
20;Andrey;41
21;Alexey;44
22;Andrey;72
23;Kirill;11
24;Leonid;20
25;Leonid;32
26;Alexey;39
27;Denis;56
28;Maxim;40
29;Alexey;14
30;Leonid;46
31;Alexey;40
32;Maxim;23
33;Andrey;36
34;Denis;18
35;Leonid;24
36;Alexey;55
37;Leonid;70
38;Leonid;37
39;Leonid;46
40;Alexey;68
41;Andrey;14
42;Leonid;15
43;Alexey;73
44;Denis;47
45;Leonid;70
46;Alexey;68
47;Alexey;23
48;Maxim;69
49;Andrey;33
50;Denis;34
51;Maxim;27
52;Leonid;29
53;Andrey;47
54;Andrey;50
55;Denis;30
56;Denis;69
57;Leonid;38
58;Leonid;20
59;Andrey;35
60;Andrey;29
61;Kirill;36
62;Maxim;45
63;Maxim;73
64;Maxim;14
65;Denis;70
66;Kirill;58
67;Andrey;45
68;Denis;72
69;Alexey;13
70;Kirill;32
71;Alexey;16
72;Denis;28
73;Maxim;43
74;Maxim;27
75;Denis;18
76;Kirill;36
77;Kirill;61
78;Alexey;74
79;Leonid;20
80;Leonid;38
81;Andrey;63
82;Andrey;57
83;Maxim;42
84;Denis;66
85;Kirill;35
86;Leonid;28
87;Leonid;37
88;Leonid;20
89;Denis;69
90;Alexey;67
91;Andrey;62
92;Alexey;24
93;Andrey;50
94;Denis;67
95;Kirill;10
96;Alexey;21
97;Maxim;70
98;Kirill;24
99;Leonid;58
