transaction_id;manager;client_id;product_id;quantity
1;Andrey;10;1;7
2;Alexey;7;7;2
3;Alexey;5;12;1
4;Petr;13;12;5
5;Svetlana;10;5;5
6;Alexey;19;13;5
7;Svetlana;13;14;1
8;Svetlana;20;6;4
9;Svetlana;17;13;2
10;Vladimir;9;7;7
11;Denis;11;2;2
12;Andrey;8;1;6
13;Svetlana;11;3;4
14;Denis;19;14;7
15;Alexey;18;1;4
16;Sergey;7;8;1
17;Olga;2;2;7
18;Denis;2;11;6
19;Alexey;13;5;4
20;Petr;11;12;1
21;Sergey;4;7;7
22;Andrey;10;6;3
23;Sergey;18;10;4
24;Olga;13;5;2
25;Olga;8;10;6
26;Vladimir;16;8;1
27;Alexey;7;3;5
28;Vladimir;16;2;2
29;Olga;18;1;7
30;Vladimir;18;6;4
31;Alexey;11;5;4
32;Olga;8;7;4
33;Alexey;18;1;3
34;Andrey;8;7;4
35;Svetlana;3;11;3
36;Denis;20;11;1
37;Sergey;8;1;2
38;Andrey;15;8;3
39;Sergey;8;3;6
40;Olga;19;8;6
41;Olga;10;10;6
42;Denis;7;8;4
43;Olga;18;8;6
44;Vladimir;15;10;2
45;Svetlana;12;14;4
46;Sergey;11;1;7
47;Andrey;6;13;4
48;Olga;7;13;7
49;Sergey;8;5;2
50;Petr;5;4;4
51;Vladimir;2;2;4
52;Andrey;16;14;2
53;Olga;15;13;5
54;Svetlana;7;2;5
55;Denis;17;10;5
56;Petr;3;4;6
57;Andrey;8;5;7
58;Denis;9;7;5
59;Alexey;7;7;2
60;Alexey;3;6;4
61;Denis;11;10;4
62;Vladimir;7;7;1
63;Andrey;14;10;1
64;Vladimir;4;12;4
65;Vladimir;14;6;2
66;Sergey;1;13;1
67;Petr;9;10;2
68;Svetlana;16;8;4
69;Sergey;16;6;5
70;Svetlana;20;10;3
71;Svetlana;7;3;3
72;Denis;12;2;7
73;Andrey;9;10;5
74;Sergey;9;4;6
75;Alexey;10;8;3
76;Alexey;17;7;1
77;Andrey;6;11;1
78;Petr;9;12;6
79;Petr;19;8;4
80;Sergey;10;10;7
81;Andrey;4;3;3
82;Olga;5;1;6
83;Alexey;18;12;1
84;Vladimir;17;13;7
85;Petr;3;13;4
86;Denis;9;3;7
87;Sergey;7;14;4
88;Petr;18;7;2
89;Petr;18;10;4
90;Petr;7;3;4
91;Petr;12;10;1
92;Vladimir;12;10;2
93;Denis;18;4;1
94;Sergey;15;4;6
95;Vladimir;1;8;1
96;Andrey;1;1;2
97;Denis;4;7;4
98;Denis;10;6;5
99;Denis;7;11;5
100;Andrey;15;10;5
101;Olga;11;4;6
102;Sergey;20;8;3
103;Sergey;4;12;5
104;Svetlana;17;8;3
105;Vladimir;16;2;6
106;Petr;18;14;6
107;Alexey;8;3;7
108;Andrey;15;1;1
109;Andrey;17;7;5
110;Svetlana;11;8;3
111;Alexey;18;4;5
112;Denis;2;5;5
113;Denis;7;11;2
114;Sergey;7;10;6
115;Petr;20;11;1
116;Sergey;7;7;2
117;Olga;11;13;4
118;Andrey;9;1;5
119;Andrey;4;1;6
120;Petr;6;1;1
121;Olga;1;8;1
122;Andrey;3;11;3
123;Denis;9;14;7
124;Sergey;16;14;2
125;Andrey;9;6;6
126;Petr;2;13;2
127;Alexey;15;3;2
128;Vladimir;1;10;5
129;Sergey;2;1;6
130;Vladimir;8;12;3
131;Olga;20;10;7
132;Vladimir;10;7;1
133;Olga;9;8;7
134;Vladimir;8;4;4
135;Alexey;5;7;5
136;Olga;2;12;3
137;Alexey;1;13;3
138;Alexey;15;4;2
139;Denis;9;3;1
140;Olga;8;5;6
141;Alexey;5;5;7
142;Andrey;18;7;6
143;Alexey;15;2;6
144;Vladimir;5;1;5
145;Olga;13;4;1
146;Alexey;18;11;2
147;Andrey;2;10;2
148;Petr;17;2;5
149;Andrey;14;6;6
150;Andrey;19;10;2
151;Svetlana;15;2;2
152;Olga;17;8;2
153;Svetlana;1;3;6
154;Olga;7;14;7
155;Andrey;11;7;3
156;Alexey;5;7;7
157;Petr;11;14;6
158;Andrey;6;6;4
159;Denis;17;7;4
160;Petr;9;8;7
161;Petr;20;10;4
162;Alexey;7;6;5
163;Denis;11;5;5
164;Sergey;7;2;4
165;Olga;17;7;7
166;Andrey;20;14;1
167;Petr;13;12;1
168;Alexey;15;2;6
169;Svetlana;19;7;2
170;Vladimir;7;14;7
171;Petr;14;11;4
172;Alexey;8;12;2
173;Alexey;5;11;4
174;Sergey;10;12;7
175;Petr;2;7;3
176;Denis;7;5;7
177;Olga;19;7;6
178;Petr;9;13;5
179;Andrey;12;7;4
180;Sergey;14;6;1
181;Olga;2;3;4
182;Sergey;12;6;4
183;Sergey;12;3;7
184;Denis;11;14;5
185;Andrey;14;6;3
186;Alexey;20;13;2
187;Olga;11;8;1
188;Vladimir;9;5;1
189;Alexey;19;11;2
190;Denis;20;12;3
191;Vladimir;11;4;3
192;Andrey;9;5;1
193;Vladimir;8;4;5
194;Svetlana;11;5;3
195;Andrey;8;4;3
196;Denis;19;10;6
197;Svetlana;18;3;3
198;Alexey;4;6;2
199;Alexey;17;10;3
200;Svetlana;6;7;5
